time,x,y,vx,vy,omega,linear_velocity,goal_status,attempt_id,goal_x,goal_y,goal_reached_count,collision_count,min_scan_range,plan_update_count,last_plan_update_time
89.663,0.008388302592961557,-0.006091849372948206,-7.379838598467447e-05,1.1252852215007053e-05,-0.001790719563083569,7.465137947095008e-05,IDLE,0,nan,nan,0,0,0.695396900177002,0,nan
89.692,0.008388682149739816,-0.0060893672187459676,-7.35400665928858e-05,1.0690853481988414e-05,-0.001785844493823596,7.431309267322564e-05,IDLE,0,nan,nan,0,0,0.695396900177002,0,nan
89.718,0.008389068300379235,-0.0060868176099746095,-7.338318119440776e-05,1.0623887492030817e-05,-0.0017810920323387922,7.414821823654705e-05,IDLE,0,nan,nan,0,0,0.695396900177002,0,nan
89.759,0.008389442419397444,-0.006084348769390281,-7.315010649291184e-05,1.0577332412570733e-05,-0.0017760147953805958,7.391087904287407e-05,IDLE,0,nan,nan,0,0,0.6990262269973755,0,nan
89.792,0.008389816023238126,-0.006081886728028746,-7.297679209127935e-05,1.0552577137741733e-05,-0.0017716916264097274,7.373580587599082e-05,IDLE,0,nan,nan,0,0,0.6990262269973755,0,nan
89.826,0.008390200367640512,-0.006079356665740387,-7.279361114888968e-05,1.0512489129372519e-05,-0.0017666961927590486,7.354877464506754e-05,IDLE,0,nan,nan,0,0,0.6990262269973755,0,nan
89.859,0.008390572871667692,-0.00607690759448403,-7.256673608579127e-05,1.0482141045941157e-05,-0.0017618923318487266,7.331989134642718e-05,IDLE,0,nan,nan,0,0,0.6990262269973755,0,nan
89.892,0.008390944841994544,-0.006074465217218632,-7.238513250801534e-05,1.0449509606721833e-05,-0.0017570712075143217,7.31354883707213e-05,IDLE,0,nan,nan,0,0,0.6990262269973755,0,nan
89.926,0.008391327535691042,-0.006071955887485677,-7.215790844221537e-05,1.0417138695934465e-05,-0.0017521570451531025,7.29059704644652e-05,IDLE,0,nan,nan,0,0,0.6990262269973755,0,nan
89.959,0.008391698462545031,-0.006069526721189959,-7.196529883090667e-05,1.038144207201131e-05,-0.0017472702310402895,7.271023707371765e-05,IDLE,0,nan,nan,0,0,0.6751965880393982,0,nan
89.992,0.008392068642611952,-0.006067104166622781,-7.176630164361448e-05,1.0342214186708356e-05,-0.001742599222763035,7.25076785305254e-05,IDLE,0,nan,nan,0,0,0.6751965880393982,0,nan
90.026,0.008392449507596355,-0.006064614981839054,-7.155985463246974e-05,1.0307807094749304e-05,-0.0017376289367177303,7.229843485251092e-05,IDLE,0,nan,nan,0,0,0.6751965880393982,0,nan
90.059,0.008392818657361323,-0.006062205592744715,-7.13604438134399e-05,1.0275948284847059e-05,-0.0017329082747057074,7.209651901724496e-05,IDLE,0,nan,nan,0,0,0.6751965880393982,0,nan
90.092,0.008393187339055704,-0.006059802790872126,-7.116325061839853e-05,1.0244935474546153e-05,-0.0017281631333150836,7.18969188592572e-05,IDLE,0,nan,nan,0,0,0.6751965880393982,0,nan
90.126,0.008393566701253762,-0.006057333966425108,-7.095453572782134e-05,1.021312847964194e-05,-0.0017232767591936525,7.168580147904011e-05,IDLE,0,nan,nan,0,0,0.6751965880393982,0,nan
90.155,0.00839393436667804,-0.006054944381576023,-7.07569951520473e-05,1.0171843960262244e-05,-0.0017185524739612285,7.148439530763878e-05,IDLE,0,nan,nan,0,0,0.6901873350143433,0,nan
